aafke,Huredhiel
 aaliyah,Adlanniel
 abigail,Erulasse
 ada,Alassëa ((Ah-lahs-say-ah)
 addison,Adanessa
 addylyn,Vanlanthiriel
 adele,Arwen
 adilya,Faelwen
 aditi,Mirima
 adrienne,Alya
 agatha,Maerwen
 aimee,Mellimeldisiel
 alanah,Vendethiel
 alanna,Vanya
 aleia,Adlanna
 alena,Caladwen
 alexa,see alexandra
 alexandra,Beriadanwen
 alexandrea,see alexandra
 alexia,see alexandra
 alexis,see alexandra
 ali,Tauredhiel
 alice,Thenidiel
 alicia,Nostariel
 alina,see alice
 alison,see alicia
 allison,see alicia
 allora,Valainistima
 alyse,see alice
 alyssa,Sanya
 allegra,Alassiel
 amanda,Melda
 amber,Meldamiriel
 amelia,Miluiel
 amy,see amanda
 amycate,Manwameldiel
 ana,see anna
 analee,Erulissë
 anastasia,Adonnenniel
 andrea,Huoriel
 andreanne,Dessuithiel
 angela,Valadhiel
 angelica,see angela
 angelina,Aintithenniel
 anhely,see anne
 anita,see ann
 anjali,Mentathiel
 ann,Raina
 anna,Eruanna
 anne,see ann
 anneliese,Aistaraina
 annelot,Haldaraina
 annette,see ann
 annie,see ann
 anouk,see anna
 anya,see ann
 april,Gwirithiel
 arena,Airedhiel
 arianne,Limbairedhiel
 ariel,maiden
 ariella,see ariel
 arielle,see ariel
 arlana,see arlina
 arlina,Gwaedhiel
 arya,Arwen
 ashlee,see ashley
 ashley,Lithôniel
 ashlyn,Lairelithoniel
 atlanta,Falathiel
 aubrey,Arwen
 audrey,Tuarwen
 aurelia,Malthenniel
 aurora,Minuialwen
 ava,Aesuithiel
 avery,see aubrey
 avril,see april
 ayala,Arasinya
 ayesha,Cuiledhwen
 bailey,Aranduriel
 barbara,Haeronwen
 barb, see barbara
 barbie,see barbara
 beatrice,Alastegiel
 becca,Gwedhiel
 bee,see beatrice
 belen,Pilindiel
 bella,Vanya
 benthe,Almárëa
 bernadette,Veryamedliel
 bernice,Turtegiel
 bethan,Eruaistaniel
 bethany,Pendecardiel
 betsy,see elizabeth
 bette,see elizabeth
 betty,see elizabeth
 beverly,Barvarnilairiel
 beyonce,Tharwaithiel
 bianca,Silivrenniel
 billiejo,Belleruraina
 blair,see blaire
 blaire,Talathiel
 blanche,see bianca
 brandewyn,Uralimpiel
 brandi,Laucamiluiel
 brandy,see brandi
 breanna,see brianna
 breanne,see brianna
 brenda,Cristiel
 brenna,Crabatithenniel
 brianca,see bianca
 brianna,Bellethiel
 brianne,see brianna
 brielle,Vardainiel
 bridget,Bellasiel
 brigitte,see bridget
 britney,see brittany
 britt,Daerwen
 brittany,Silivrentolwen
 brittney,see brittany
 brooke,Nellethiel
 brynne,Amoniel
 butterfly,Gwilwilethel
 caitlin,see katherine
 callie,Vanya
 cameo,Tucagwathiel
 camille,Venessiel
 candace,Fainauriel
 candice,see candace
 cara,Anameleth
 carissa,Melda
 carly,Bellethiel
 carmen,Aerlinniel
 carol,Lindethiel
 caroline,Vanadessë
 carolyn,see caroline
 carrie,Lindariel
 casey,Verya
 cassandra,Tirananniel
 cassie,see cassandra
 catalina,see katherine
 catherine,see katherine
 cecile,Útíradiel
 cecilia,see cecile
 cecily,see cecile
 celeste,Menelwen
 celia,see celeste
 celina,see celine
 celine,Ithilwen
 chai,see kai
 chandler,Tanlicumiel
 chandra,Valisilwen
 chantelle,Linnadhiel
 charity,Meltôriel
 charlotte,Inimeitiel
 charlynn,Dessuithiel
 charlize,see charlynn
 charmaine,Fáreryniel
 chelsea,Cirelondiel
 chelsey,see chelsea
 cherie,see cheryl
 cheryl,Melda
 cheyanne,see cheyenne
 cheyenne,Doredhiel
 chiara,Minaethiel
 chloe,Lostariel
 christie,see christine
 christina,see christine
 christine,Eruaphadriel
 ciara,see kiara
 cierra,see sierra
 cindy,see cynthia
 claire,Limwen
 clara,see claire
 clare,see claire
 clarice,see clara
 claudia,Úpadiel
 cohava,Eleniel
 connie,Sadronniel
 colleen,Iellwen
 cora,Ellethwen
 corinna,see cora
 corinne,see cora
 courtney,Pandothiel
 crystal,Silima
 cyndi,see cynthia
 cynthia,Ithilethiel
 daisy,Henaradwen
