 aaron,Calanon (Kahl-ah-non)
 abduallah,Erumollien (Air-oo-mole-ee-ehn)
 adam,Adan (Ah-dahn)
 addison,Adanion (Ahd-ahn-ee-on)
 adrian,Dûrion(Doo-ree-on)
 adrien,Dûrion(Doo-ree-on)
 aidan, Urúvion (Oo-roo-vee-on)
 alan,Beinion (Bay-nee-on)
 alastor,Beriadan (Bear-ee-ah-dahn)
 albus,Glandur (Glahn-dur)
 alec,Beriadan (Bear-ee-ah-dahn)
 alex,Beriadan (Bear-ee-ah-dahn)
 alexander,Beriadan (Bear-ee-ah-dahn)
 alfie,Idhrenion (Eeth-rehn-ee-on)
 allen,Beinion (Bay-nee-on)
 alvin,Glanhelmion (Glahn-helm-ee-on)
 andre,Suiadan (Soo-ee-ah-dahn) 
 andrew,Suiadan (Soo-ee-ah-dahn)
 andy,Suiadan (Soo-ee-ah-dahn)
 angel,Ainion (Eye-nee-on)
 anthony,Valdaglerion (Vahl-dah-glare-ee-on)
 anton,Valdaglerion (Vahl-dah-glare-ee-on)
 armand,Daugion (Dowg-ee-on)
 arno,Thorontur (Thore-on-toor)
 arnold,Thorontur (Thore-on-toor)
 art,Gondien (Gone-dee-ehn)
 arthur,Arbellason (Are-behl-lah-son)
 ash,Lithônion (Leeth-on-ee-on)
 asher, Alyan (Ahl-yahn)
 ashton,Lithaldoren (Leeth-ahl-dore-ehn)
 bailey,Arandur (Are-ahn-dur)
 barrie,see barry
 barry,Maidhfinden (Mythe-fin-dehn)
 ben,Máfortion (Mah-fore-tee-on)
 benjamin,Máfortion (Mah-fore-tee-on)
 bernard,Veryamorcon (Vare-yah-more-ton)
 bevin,Laermeluion (Lyre-mehl-wee-on)
 bijan,Thalion (Thahl-ee-on)
 billy,see william
 bjarne,Morcion (More-kee-on)
 blake,Maidhion (My-thee-on)
 bob,see robert
 brad,Lairelandon (Lye-ray-lahn-donn)
 braden,Landion (Lahn-dee-on)
 bradford,Landathradon (Lahnd-ahth-rahd-onn)
 brandon,Megildur (Meh-geel-dur)
 brendan,Megildur (Meh-geel-dur)
 brent, Baradhamon (Bar-ah-thah-mon)
 brett, Nimtolien (Nimm-tole-ee-ehn)
 brian, Beleg (Beh-leg)
 broderick,Ceberlandon (Keh-bear-lahn-done)
 bruce,Tawarthion (Tah-wahr-thee-on)
 bryce,Arphenion (Are-fehn-ee-on)
 bryceson,Rincavornon (Rinn-kah-vore-non)
 burt,see Robert
 byron,Nibencarden (Nee-behn-kahr-dehn)
 caleb,Voronwë (Vore-on-way)
 callum,Cugedhion (Koo-geh-thee-on)
 calvin,Rûdhon (Roo-thon)
 cameron,Raegbund (Ryge-bund [hard G])
 carl = "see charles
 carlos = "see charles
 carey = "manwë (mahn-way)
 casey,Veryan (Vare-yahn)
 caspar,Arthion (Are-thee-on)
 casper,Arthion (Are-thee-on)
 cecil,Útíradien (Oo-tear-ahd-ee-ehn)
